"Comment","Designator","Footprint","JLCPCB Part #"
"8MHz 20pF ±20ppm HC-49S-SMD Crystals ROHS","XTAL2","HC-49S-SMD","C12674"
"1kΩ Resistor","R11","0402 [SMD, JLCPCB]","C11702"
"20Ω Resistor","R40","1206 [SMD]","C17955"
"5.7kΩ Resistor","R43","0402 [SMD, JLCPCB]","C25900"
"1kΩ Resistor","R30","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R15","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R17","0402 [SMD, JLCPCB]","C11702"
"AMS1117-3.3 - Voltage Regulator","VR1","SOT-223-3","C6186"
"1kΩ Resistor","R39","0402 [SMD, JLCPCB]","C11702"
"SMD Led (Yellow)","LED1","0805","C2296"
"100nf 0402 Ceramic Capacitor","C14","0402 [SMD, JLCPCB]","C307331"
"10uf 0402 Ceramic Capacitor","C1","0402 [SMD, JLCPCB]","C15525"
"1kΩ Resistor","R10","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R22","0402 [SMD, JLCPCB]","C11702"
"100nf 0402 Ceramic Capacitor","C7","0402 [SMD, JLCPCB]","C307331"
"1kΩ Resistor","R28","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R21","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R19","0402 [SMD, JLCPCB]","C11702"
"10kΩ Resistor","R31","0402 [SMD, JLCPCB]","C25744"
"75Ω Resistor","R35","0402 [SMD, JLCPCB]","C25133"
"1kΩ Resistor","R26","0402 [SMD, JLCPCB]","C11702"
"1.5kΩ Resistor","R13","0402 [SMD, JLCPCB]","C25867"
"510Ω Resistor","R42","0603 [SMD, JLCPCB]","C23193"
"100kΩ Resistor","R36","0402 [SMD, JLCPCB]","C25741"
"S14 Schottky Diode","D1","SMA(DO-214AC)","C2480"
"10uf 0402 Ceramic Capacitor","C3","0402 [SMD, JLCPCB]","C15525"
"1kΩ Resistor","R7","0402 [SMD, JLCPCB]","C11702"
"510Ω Resistor","R1","0603 [SMD, JLCPCB]","C23193"
"1MΩ Resistor","R32","0402 [SMD, JLCPCB]","C26083"
"20pf 0402 Ceramic Capacitor","C11","0402 [SMD, JLCPCB]","C1554"
"1kΩ Resistor","R25","0402 [SMD, JLCPCB]","C11702"
"TS-1187A-B-A-B","U1","SMD","C318884"
"1kΩ Resistor","R12","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R9","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R38","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R5","0402 [SMD, JLCPCB]","C11702"
"SMD Led (Emerald)","LED3","0805","C2297"
"100nf 0402 Ceramic Capacitor","C5","0402 [SMD, JLCPCB]","C307331"
"75Ω Resistor","R33","0402 [SMD, JLCPCB]","C25133"
"1kΩ Resistor","R8","0402 [SMD, JLCPCB]","C11702"
"IC","IC2","SO","C882751"
"1kΩ Resistor","R24","0402 [SMD, JLCPCB]","C11702"
"100nf 0402 Ceramic Capacitor","C8","0402 [SMD, JLCPCB]","C307331"
"32.768kHz 12.5pF ±20ppm SMD3215-2P Crystals ROHS","XTAL1","SMD3215-2P","C32346"
"20Ω Resistor","R41","1206 [SMD]","C17955"
"STM32F103C8T6","IC1","LQFP","C8734"
"SMD Led (Red)","LED2","0805","C84256"
"AMS1117-5.0 - Voltage Regulator","VR2","SOT-223-3","C6187"
"S14 Schottky Diode","D2","SMA(DO-214AC)","C2480"
"22pf 0402 Ceramic Capacitor","C9","0402 [SMD, JLCPCB]","C1555"
"510Ω Resistor","R3","0603 [SMD, JLCPCB]","C23193"
"1kΩ Resistor","R27","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R14","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R18","0402 [SMD, JLCPCB]","C11702"
"SMD Led (White)","LED4","0805","C34499"
"1kΩ Resistor","R4","0402 [SMD, JLCPCB]","C11702"
"100kΩ Resistor","R37","0402 [SMD, JLCPCB]","C25741"
"100nf 0402 Ceramic Capacitor","C13","0402 [SMD, JLCPCB]","C307331"
"20pf 0402 Ceramic Capacitor","C10","0402 [SMD, JLCPCB]","C1554"
"1kΩ Resistor","R23","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R29","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R6","0402 [SMD, JLCPCB]","C11702"
"1kΩ Resistor","R16","0402 [SMD, JLCPCB]","C11702"
"10uf 0402 Ceramic Capacitor","C4","0402 [SMD, JLCPCB]","C15525"
"1kΩ Resistor","R20","0402 [SMD, JLCPCB]","C11702"
"100nf 0402 Ceramic Capacitor","C6","0402 [SMD, JLCPCB]","C307331"
"510Ω Resistor","R2","0603 [SMD, JLCPCB]","C23193"
"20pf 0402 Ceramic Capacitor","C12","0402 [SMD, JLCPCB]","C1554"
"75Ω Resistor","R34","0402 [SMD, JLCPCB]","C25133"
"10uf 0402 Ceramic Capacitor","C2","0402 [SMD, JLCPCB]","C15525"
