"Designator","Mid X","Mid Y","Layer","Rotation"
"XTAL2","97.9","57.1952","T","90"
"R11","84.9997","76.0299","T","90"
"R40","43.4999","35.7448","T","-90"
"R43","48.7649","39.9949","T","0"
"R30","46.9999","76.0299","T","90"
"R15","76.9998","76.0299","T","90"
"R17","72.9999","76.0299","T","90"
"VR1","143.3","70.0652","T","-270"
"R39","42.9999","54.6298","T","90"
"LED1","126.2","71.4299","T","-90"
"C14","96.9274","65.9944","T","0"
"C1","143.927","76.5944","T","0"
"R10","86.9998","76.0299","T","90"
"R22","62.9999","76.0299","T","90"
"C7","75.5993","58.1221","T","90"
"R28","50.9998","76.0299","T","90"
"R21","65","76.0299","T","90"
"R19","68.9999","76.0299","T","90"
"R31","99.2","67.4599","T","90"
"R35","73.7001","29.1299","T","-90"
"R26","55","76.0299","T","90"
"R13","80.9997","76.0299","T","90"
"R42","91.2499","52.895","T","0"
"R36","58.665","52.295","T","0"
"D1","151.7","71.2295","T","-270"
"C3","136.627","74.9944","T","0"
"R7","92.9998","76.0299","T","90"
"R1","126.2","67.5449","T","90"
"R32","100.5","57.2599","T","-90"
"C11","93.6271","54.9945","T","0"
"R25","57.0001","76.0299","T","90"
"U1","35.9","20.8452","T","-180"
"R12","82.9998","76.0299","T","90"
"R9","88.9996","76.0299","T","90"
"R38","42.9999","57.23","T","90"
"R5","96.9998","76.0299","T","90"
"LED3","118.8","71.4299","T","-90"
"C5","94.2273","65.9944","T","0"
"R33","78.8001","29.1299","T","-90"
"R8","90.9997","76.0299","T","90"
"IC2","116.505","25.5293","T","0"
"R24","59","76.0299","T","90"
"C8","88.0995","54.8678","T","90"
"XTAL1","92.7543","57.5447","T","90"
"R41","47.6","35.6449","T","-90"
"IC1","83.7498","61.645","T","-90"
"LED2","122.7","71.4299","T","-90"
"VR2","136","70.0652","T","-270"
"D2","131","74.8295","T","-270"
"C9","100.6","60.8677","T","90"
"R3","118.8","67.5449","T","90"
"R27","52.9999","76.0299","T","90"
"R14","78.9999","76.0299","T","90"
"R18","71","76.0299","T","90"
"LED4","92.3","49.8037","T","-90"
"R4","98.9999","76.0299","T","90"
"R37","58.665","50.195","T","0"
"C13","119.861","20.2529","T","-90"
"C10","93.6271","60.0944","T","0"
"R23","61.0001","76.0299","T","90"
"R29","49","76.0299","T","90"
"R6","94.9999","76.0299","T","90"
"R16","74.9997","76.0299","T","90"
"C4","136.573","76.1944","T","0"
"R20","66.9998","76.0299","T","90"
"C6","76.4002","66.8677","T","-90"
"R2","122.7","67.5449","T","90"
"C12","100.6","53.5221","T","-90"
"R34","76.2999","29.1299","T","-90"
"C2","143.927","74.8944","T","0"
